Poll ID,Date,Respondents,Media Outlet,Pollster,Media Index,Party,Votes,Votes_Rank
167,2022-10-28,500,גלי ישראל,רפי סמית,7,The Reservists,0,16
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Yashar!,0,15
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Bennett's Party,0,14
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Otzma Yehudit,0,13
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Balad,0,12
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Hadash Ta'al,0,11
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Ra'am,4,10
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Joint Arab List,4,9
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Yisrael Beiteinu,6,8
167,2022-10-28,500,גלי ישראל,רפי סמית,7,UTJ,7,7
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Shas,9,6
167,2022-10-28,500,גלי ישראל,רפי סמית,7,The Democrats,9,5
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Blue & White,11,4
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Religious Zionism,14,3
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Yesh Atid,25,2
167,2022-10-28,500,גלי ישראל,רפי סמית,7,Likud,31,1
166,2022-10-28,1007,חדשות 12,מנו גבע,29,The Reservists,0,16
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Yashar!,0,15
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Bennett's Party,0,14
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Balad,0,13
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Hadash Ta'al,0,12
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Otzma Yehudit,0,11
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Ra'am,4,10
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Joint Arab List,4,9
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Yisrael Beiteinu,6,8
166,2022-10-28,1007,חדשות 12,מנו גבע,29,UTJ,7,7
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Shas,8,6
166,2022-10-28,1007,חדשות 12,מנו גבע,29,The Democrats,10,5
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Blue & White,11,4
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Religious Zionism,14,3
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Yesh Atid,25,2
166,2022-10-28,1007,חדשות 12,מנו גבע,29,Likud,31,1
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,The Reservists,0,16
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Yashar!,0,15
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Bennett's Party,0,14
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Balad,0,13
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Hadash Ta'al,0,12
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Otzma Yehudit,0,11
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Ra'am,4,10
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Joint Arab List,4,9
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Yisrael Beiteinu,5,8
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,UTJ,7,7
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Shas,8,6
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,The Democrats,10,5
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Blue & White,10,4
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Religious Zionism,15,3
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Yesh Atid,27,2
165,2022-10-28,801,חדשות 13,קמיל פוקס,25,Likud,30,1
164,2022-10-28,500,מעריב,מנחם לזר,22,The Reservists,0,16
164,2022-10-28,500,מעריב,מנחם לזר,22,Yashar!,0,15
164,2022-10-28,500,מעריב,מנחם לזר,22,Bennett's Party,0,14
164,2022-10-28,500,מעריב,מנחם לזר,22,Balad,0,13
164,2022-10-28,500,מעריב,מנחם לזר,22,Hadash Ta'al,0,12
164,2022-10-28,500,מעריב,מנחם לזר,22,Otzma Yehudit,0,11
164,2022-10-28,500,מעריב,מנחם לזר,22,Ra'am,4,10
164,2022-10-28,500,מעריב,מנחם לזר,22,Joint Arab List,4,9
164,2022-10-28,500,מעריב,מנחם לזר,22,Yisrael Beiteinu,6,8
164,2022-10-28,500,מעריב,מנחם לזר,22,UTJ,6,7
164,2022-10-28,500,מעריב,מנחם לזר,22,Shas,9,6
164,2022-10-28,500,מעריב,מנחם לזר,22,The Democrats,9,5
164,2022-10-28,500,מעריב,מנחם לזר,22,Blue & White,12,4
164,2022-10-28,500,מעריב,מנחם לזר,22,Religious Zionism,14,3
164,2022-10-28,500,מעריב,מנחם לזר,22,Yesh Atid,25,2
164,2022-10-28,500,מעריב,מנחם לזר,22,Likud,31,1
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Likud,31,1
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Yesh Atid,24,2
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Religious Zionism,14,3
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Blue & White,11,4
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,The Democrats,11,5
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Shas,8,6
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,UTJ,7,7
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Yisrael Beiteinu,6,8
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Joint Arab List,4,9
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Ra'am,4,10
163,2022-10-27,1301,כאן חדשות,דודי חסיד,15,Otzma Yehudit,0,11
