Poll ID,Date,Respondents,Media Outlet,Pollster,Likud,UTJ,Shas,Blue & White,Yesh Atid,Hadash Ta'al,Yisrael Beiteinu,The Democrats,Religious Zionism,Ra'am,Balad,Otzma Yehudit,Bennett's Party,Yashar!,The Reservists,Joint Arab List
167,2022-10-28,500,גלי ישראל,רפי סמית,31,7,9,11,25,0,6,9,14,4,0,0,0,0,0,4
166,2022-10-28,1007,חדשות 12,מנו גבע,31,7,8,11,25,0,6,10,14,4,0,0,0,0,0,4
165,2022-10-28,801,חדשות 13,קמיל פוקס,30,7,8,10,27,0,5,10,15,4,0,0,0,0,0,4
164,2022-10-28,500,מעריב,מנחם לזר,31,6,9,12,25,0,6,9,14,4,0,0,0,0,0,4
163,2022-10-27,1301,כאן חדשות,דודי חסיד,31,7,8,11,24,0,6,11,14,4,0,0,0,0,0,4
162,2022-10-27,1200,ישראל היום,יצחק כץ,30,7,9,11,25,0,5,10,15,4,0,0,0,0,0,4
161,2022-10-26,505,גלי צהל,מנו גבע,31,7,8,12,25,0,6,10,13,4,0,0,0,0,0,4
160,2022-10-26,700,גלי ישראל,רפי סמית,32,7,9,12,25,0,5,9,13,4,0,0,0,0,0,4
159,2022-10-25,500,ערוץ הכנסת,מנחם לזר,31,7,8,12,24,0,6,10,14,4,0,0,0,0,0,4
158,2022-10-25,801,חדשות 13,קמיל פוקס,31,7,8,11,27,0,6,8,14,4,0,0,0,0,0,4
157,2022-10-24,501,חדשות 12,מנו גבע,32,7,8,13,24,0,5,10,13,4,0,0,0,0,0,4
156,2022-10-24,1084,ערוץ 14,דירקט פולס,34,7,9,12,23,0,6,9,12,4,0,0,0,0,0,4
155,2022-10-24,500,מעריב,מנחם לזר,32,7,8,12,23,0,6,10,14,4,0,0,0,0,0,4
154,2022-10-24,752,רשת ב,דודי חסיד,31,7,9,12,24,0,6,10,13,4,0,0,0,0,0,4
153,2022-10-21,712,מעריב,מנחם לזר,31,7,8,12,23,0,7,10,14,4,0,0,0,0,0,4
152,2022-10-20,801,חדשות 13,קמיל פוקס,32,7,8,11,26,0,5,10,13,4,0,0,0,0,0,4
151,2022-10-20,847,ערוץ 14,דירקט פולס,34,7,9,13,23,0,6,8,12,4,0,0,0,0,0,4
150,2022-10-20,507,שידורי קשת,מנו גבע,31,7,8,11,24,0,6,11,14,4,0,0,0,0,0,4
149,2022-10-19,712,ערוץ הכנסת,מנחם לזר,32,7,8,11,24,0,7,10,13,4,0,0,0,0,0,4
148,2022-10-18,510,חדשות 12,מנו גבע,30,7,8,12,25,0,6,10,14,4,0,0,0,0,0,4
147,2022-10-18,651,כאן חדשות,דודי חסיד,31,7,8,11,25,0,7,9,14,4,0,0,0,0,0,4
146,2022-10-14,707,מעריב,מנחם לזר,32,7,8,12,24,0,6,10,13,4,0,0,0,0,0,4
145,2022-10-13,537,ערוץ 14,דירקט פולס,34,7,9,12,23,0,7,8,12,4,0,0,0,0,0,4
